Symbol,Name,Belonging_To_Sector,Key_Name,included_in_industries,children
NQUSB60101000LM,Nasdaq US Integrated Oil and Gas Large Mid Cap Index,NQUSB60,Integrated Oil and Gas,"NQUSB60,NQUSB601010,NQUSB60101000",
NQUSB60101030LM,Nasdaq US Oil Equipment and Services Large Mid Cap Index,NQUSB60,Oil Equipment and Services,"NQUSB60,NQUSB601010,NQUSB60101030",
NQUSB60101035LM,Nasdaq US Pipelines Large Mid Cap Index,NQUSB60,Pipelines,"NQUSB60,NQUSB601010,NQUSB60101035",
NQUSB601020LM,Nasdaq US Alternative Energy Large Mid Cap Index,NQUSB60,Alternative Energy,"NQUSB60,NQUSB601020",
NQUSB60102020LM,Nasdaq US Renewable Energy Equipment Large Mid Cap Index,NQUSB60,Renewable Energy Equipment,"NQUSB60,NQUSB601020,NQUSB60102020",
NQUSB55LM,Nasdaq US Basic Materials Large Mid Cap Index,SECTOR,Basic Materials,NQUSB55,
NQUSB5520LM,Nasdaq US Chemicals Large Mid Cap Index,NQUSB55,Chemicals,"NQUSB55,NQUSB5520",
NQUSB55201000LM,Nasdaq US Chemicals: Diversified Large Mid Cap Index,NQUSB55,Chemicals: Diversified,"NQUSB55,NQUSB5520,NQUSB55201000",
NQUSB55201020LM,Nasdaq US Specialty Chemicals Large Mid Cap Index,NQUSB55,Specialty Chemicals,"NQUSB55,NQUSB5520,NQUSB55201020",
NQUSB5510LM,Nasdaq US Basic Resources Large Mid Cap Index,NQUSB55,Basic Resources,"NQUSB55,NQUSB5510",
NQUSB551010LM,Nasdaq US Industrial Materials Large Mid Cap Index,NQUSB55,Industrial Materials,"NQUSB55,NQUSB5510,NQUSB551010",
NQUSB551020LM,Nasdaq US Industrial Metals and Mining Large Mid Cap Index,NQUSB55,Industrial Metals and Mining,"NQUSB55,NQUSB5510,NQUSB551020",
