Industry,Total_Available,include_top,Top_Stocks
Real Estate Development,39,28,"CBRE, BEKE, JLL, OPEN, FSV, HHH, MTH, MRP, MRP/I, CWK, HGV, JOE, NMRK, VTMX, HBNB, EXPI, HOUS, KW, FOR, IRS, MMI, SKYH, FPH, CDZI, FRPH, NLOP, TRC, TCI"
Real Estate Investment Trusts,39,28,"WELL, PLD, AMT, EQIX, SPG, DLR, O, PSA, CCI, VTR, VICI, EXR, AVB, IRM, EQR, SBAC, INVH, ESS, WY, SUI, MAA, NLY, CPT, WPC, KIM, OHI, LAMR, REG"
Recreational Products,27,19,"AS, HAS, MAT, THO, GOLF, PII, HAYW, MODG, WGO, LVWR, MBUU, TRON, RGR, JOUT, MCFT, HERE, MPX, JAKK, ESCA"
Regional Banks,39,28,"IBN, NU, CM, USB, TFC, KB, MTB, FITB, FCNCA, CIB, EWBC, BSAC, ALLY, FHN, SSB, WTFC, WAL, GGAL, COLB, CFR, BPOP, CHYM, PNFP, CBSH, SNV, PB, GBCI, HOMB"
Restaurants,39,28,"MCD, SBUX, CMG, YUM, QSR, DRI, YUMC, DPZ, TXRH, ARMK, BROS, WING, EAT, CAVA, SHAK, CAKE, WEN, ARCO, PZZA, FWRG, HDL, BH, BH.A, BJRI, CNNE, SG, CBRL, BLMN"
Savings Banks,39,28,"WBS, TFSL, WSFS, PFS, NWBI, CLBK, TFIN, OCFC, CFFN, TRST, HIFS, SMBC, TCBX, NFBK, KRNY, GCBC, PDLB, AVBC, FSBW, TSBK, WNEB, BLFY, FCAP, FNWD, BVFL, CFBK, AFBI, LSBK"
Semiconductors,39,28,"NVDA, AVGO, TSM, ASML, AMD, MU, QCOM, INTC, KLAC, TXN, ARM, ADI, MRVL, TEL, NXPI, MPWR, ASX, FSLR, MCHP, ALAB, COHR, STM, ON, GFS, UMC, FN, MTSI, TSEM"
Services to the Health Industry,4,4,"DGX, ASTH, NRC, QIPT"
Specialty Insurance,12,9,"FNF, ORI, FAF, ESNT, RDN, AGO, STC, TIPT, ITIC"
Specialty Stores,39,28,"WMT, COST, ORLY, CVNA, AZO, TGT, CPRT, TSCO, ULTA, WSM, CASY, DKS, W, BJ, PAG, LAD, AN, MUSA, MNSO, KMX, GPI, ABG, UGP, SIG, RUSHB, RUSHA, PSMT, BBWI"
Specialty Telecommunications,10,7,"TEF, SATS, ASTS, PHI, IRDM, ITRN, TSAT"
Steel,25,18,"BHP, VALE, NUE, MT, STLD, TS, PKX, RS, CLF, TX, CMC, GGB, SIM, SID, WS, RYI, MTUS, SXC"
Telecommunications Equipment,35,25,"AAPL, CSCO, MSI, GRMN, UI, NOK, ERIC, CIEN, VSAT, COMM, CALX, ONDS, DGII, ARLO, HLIT, GILT, AIOT, CLFD, AVNW, FEIM, AUDC, BKTI, CRNT, SANG, INSG"
Textiles,6,5,"AIN, MAGN, MAMK, UFI, CULP"
Tobacco,4,4,"PM, BTI, MO, TPB"
Tools & Hardware,5,5,"SNA, ALLE, SWK, EML, ILAG"
Trucking,21,15,"ODFL, XPO, JBHT, SAIA, KNX, TFII, LSTR, SNDR, WERN, ARCB, MRTN, FWRD, HTLD, CVLG, ULH"
Trucks/Construction/Farm Machinery,32,23,"CAT, DE, PCAR, WAB, CNH, BWA, AGCO, TTC, DOOO, BC, TEX, TRN, ALG, CDLR, GBX, LNN, ASTE, PLOW, CMCO, MTW, WNC, FSTR, BNC"
Water Utilities,13,10,"AWK, SBS, WTRG, AWR, CWT, HTO, WBI, MSEX, CWCO, YORW"
Wholesale Distributors,39,28,"FERG, FAST, GWW, GPC, WCC, QXO, AIT, CNM, POOL, SUN, UGI, SITE, MSM, BCC, DNOW, HLMN, GLP, DXPE, GCT, WKC, UVV, DSGR, SPH, CRCT, CAPL, BXC, TITN, EVI"
Wireless Telecommunications,22,16,"TMUS, T, VZ, AMX, VOD, TLK, RCI, VIV, TU, TIMB, TIGO, SKM, GSAT, LBRDA, LBRDK, TKC"
